Algorithm,Time Taken,Best Tour,Best Cost,Num Nodes,Edge Percentage,Num Edges,Adjacency List
tsp_brute_force,0.0,,inf,4,4.5,6,"[(0, 1, 19), (0, 3, 89), (1, 0, 90), (2, 3, 15), (3, 0, 89), (3, 2, 15)]"
tsp_brute_force,0.0,,inf,4,6.0,8,"[(0, 2, 69), (1, 2, 5), (1, 3, 58), (2, 0, 69), (2, 1, 5), (2, 3, 38), (3, 2, 38), (3, 1, 58)]"
tsp_brute_force,0.000408172607421875,"[0, 2, 1, 3, 0]",170,4,9.0,12,"[(0, 1, 81), (0, 2, 5), (0, 3, 36), (1, 0, 81), (1, 2, 96), (1, 3, 33), (2, 0, 5), (2, 1, 96), (2, 3, 98), (3, 0, 36), (3, 1, 33), (3, 2, 98)]"
tsp_brute_force,0.0,,inf,4,4.5,6,"[(0, 1, 23), (1, 0, 57), (1, 3, 63), (2, 3, 23), (3, 1, 63), (3, 2, 23)]"
tsp_brute_force,0.0,,inf,4,6.0,8,"[(0, 1, 54), (1, 0, 54), (1, 3, 90), (1, 2, 17), (2, 3, 86), (2, 1, 17), (3, 2, 86), (3, 1, 90)]"
tsp_brute_force,0.0,"[0, 2, 1, 3, 0]",165,4,9.0,12,"[(0, 1, 79), (0, 2, 88), (0, 3, 13), (1, 0, 79), (1, 2, 54), (1, 3, 10), (2, 0, 88), (2, 1, 54), (2, 3, 74), (3, 0, 13), (3, 1, 10), (3, 2, 74)]"
tsp_brute_force,0.0,,inf,4,4.5,6,"[(0, 1, 68), (0, 3, 38), (1, 2, 77), (1, 0, 68), (2, 1, 32), (3, 0, 38)]"
tsp_brute_force,0.0,"[0, 2, 1, 3, 0]",265,4,7.5,10,"[(0, 2, 41), (0, 1, 90), (0, 3, 89), (1, 0, 90), (1, 3, 60), (1, 2, 89), (2, 0, 41), (2, 1, 75), (3, 1, 60), (3, 0, 89)]"
tsp_brute_force,0.0,"[0, 2, 1, 3, 0]",104,4,9.0,12,"[(0, 1, 71), (0, 2, 15), (0, 3, 72), (1, 0, 71), (1, 2, 15), (1, 3, 2), (2, 0, 15), (2, 1, 15), (2, 3, 83), (3, 0, 72), (3, 1, 2), (3, 2, 83)]"
tsp_brute_force,0.0,,inf,4,4.5,6,"[(0, 1, 86), (0, 3, 84), (1, 0, 86), (1, 2, 7), (2, 1, 7), (3, 0, 84)]"
tsp_brute_force,0.0,"[0, 1, 2, 3, 0]",259,4,9.0,12,"[(0, 1, 65), (0, 3, 85), (0, 2, 66), (1, 0, 65), (1, 2, 21), (1, 3, 88), (2, 0, 66), (2, 3, 88), (2, 1, 21), (3, 0, 85), (3, 2, 88), (3, 1, 88)]"
tsp_brute_force,0.0,"[0, 1, 2, 3, 0]",180,4,9.0,12,"[(0, 1, 25), (0, 2, 50), (0, 3, 29), (1, 0, 25), (1, 2, 88), (1, 3, 67), (2, 0, 50), (2, 1, 88), (2, 3, 38), (3, 0, 29), (3, 1, 91), (3, 2, 38)]"
tsp_brute_force,0.0,,inf,4,4.5,6,"[(0, 3, 30), (1, 3, 21), (1, 2, 24), (2, 1, 24), (3, 1, 21), (3, 0, 30)]"
tsp_brute_force,0.0,"[0, 2, 1, 3, 0]",196,4,7.5,10,"[(0, 1, 88), (0, 2, 74), (0, 3, 18), (1, 3, 70), (1, 0, 88), (1, 2, 34), (2, 0, 74), (2, 1, 34), (3, 1, 70), (3, 0, 18)]"
tsp_brute_force,0.0005636215209960938,"[0, 1, 3, 2, 0]",114,4,9.0,12,"[(0, 1, 80), (0, 2, 20), (0, 3, 38), (1, 0, 80), (1, 2, 84), (1, 3, 3), (2, 0, 20), (2, 1, 84), (2, 3, 11), (3, 0, 38), (3, 1, 3), (3, 2, 11)]"
tsp_brute_force,0.0,,inf,4,4.5,6,"[(0, 1, 73), (1, 0, 73), (1, 3, 94), (2, 3, 13), (3, 1, 94), (3, 2, 13)]"
tsp_brute_force,0.0,"[0, 1, 3, 2, 0]",290,4,7.5,10,"[(0, 1, 94), (0, 2, 70), (1, 3, 46), (1, 0, 94), (1, 2, 50), (2, 3, 80), (2, 0, 70), (2, 1, 45), (3, 1, 46), (3, 2, 80)]"
tsp_brute_force,0.0,"[0, 1, 3, 2, 0]",199,4,9.0,12,"[(0, 1, 14), (0, 2, 16), (0, 3, 62), (1, 0, 73), (1, 2, 69), (1, 3, 95), (2, 0, 16), (2, 1, 69), (2, 3, 74), (3, 0, 62), (3, 1, 95), (3, 2, 74)]"
tsp_brute_force,0.0,,inf,4,4.5,6,"[(0, 3, 95), (0, 1, 55), (1, 0, 56), (1, 2, 67), (2, 1, 67), (3, 0, 95)]"
tsp_brute_force,0.0,,inf,4,6.0,8,"[(0, 2, 90), (0, 3, 73), (1, 2, 35), (2, 1, 35), (2, 0, 90), (2, 3, 94), (3, 0, 73), (3, 2, 94)]"
tsp_brute_force,0.0,"[0, 1, 2, 3, 0]",169,4,9.0,12,"[(0, 1, 12), (0, 2, 49), (0, 3, 48), (1, 0, 12), (1, 2, 18), (1, 3, 96), (2, 0, 49), (2, 1, 18), (2, 3, 91), (3, 0, 48), (3, 1, 96), (3, 2, 91)]"
tsp_brute_force,0.0,,inf,4,4.5,6,"[(0, 2, 99), (0, 3, 43), (1, 3, 96), (2, 0, 99), (3, 0, 43), (3, 1, 96)]"
tsp_brute_force,0.0,,inf,4,6.0,8,"[(0, 3, 66), (1, 2, 59), (1, 3, 88), (2, 1, 59), (2, 3, 26), (3, 0, 66), (3, 2, 43), (3, 1, 93)]"
tsp_brute_force,0.0004963874816894531,"[0, 2, 1, 3, 0]",136,4,9.0,12,"[(0, 1, 32), (0, 2, 17), (0, 3, 42), (1, 0, 32), (1, 2, 6), (1, 3, 71), (2, 0, 17), (2, 1, 6), (2, 3, 92), (3, 0, 42), (3, 1, 71), (3, 2, 92)]"
tsp_brute_force,0.0,,inf,4,4.5,6,"[(0, 2, 84), (1, 2, 3), (2, 3, 40), (2, 0, 84), (2, 1, 3), (3, 2, 40)]"
tsp_brute_force,0.0004961490631103516,"[0, 2, 1, 3, 0]",244,4,7.5,10,"[(0, 2, 67), (0, 3, 39), (1, 3, 77), (1, 2, 61), (2, 0, 67), (2, 3, 90), (2, 1, 61), (3, 2, 90), (3, 0, 39), (3, 1, 77)]"
tsp_brute_force,0.0004961490631103516,"[0, 2, 1, 3, 0]",134,4,9.0,12,"[(0, 1, 97), (0, 2, 38), (0, 3, 11), (1, 0, 97), (1, 2, 56), (1, 3, 29), (2, 0, 38), (2, 1, 56), (2, 3, 16), (3, 0, 11), (3, 1, 29), (3, 2, 16)]"
tsp_brute_force,0.0,,inf,5,6.4,8,"[(0, 1, 24), (0, 3, 29), (1, 0, 24), (1, 4, 4), (2, 4, 56), (3, 0, 29), (4, 1, 4), (4, 2, 56)]"
tsp_brute_force,0.0,"[0, 3, 2, 1, 4, 0]",209,5,11.2,14,"[(0, 3, 55), (0, 1, 82), (0, 4, 5), (1, 0, 82), (1, 2, 7), (1, 4, 90), (2, 3, 52), (2, 4, 59), (2, 1, 7), (3, 0, 55), (3, 2, 52), (4, 2, 1), (4, 0, 5), (4, 1, 90)]"
